call_id,calling_number,called_number,start_time,end_time,duration,call_type
1,21650385244,216488056,2025-01-13 15:18:06,2025-01-13 16:08:39,3033,Outgoing
2,21650820951,216264331,2025-01-13 15:12:55,2025-01-13 15:32:19,1164,Incoming
3,21650996692,216510685,2025-01-13 13:25:52,2025-01-13 14:02:09,2177,Incoming
4,21650365480,216857980,2025-01-13 14:08:10,2025-01-13 14:28:46,1236,Incoming
5,21650996715,216199437,2025-01-13 14:32:49,2025-01-13 14:33:43,54,Incoming
6,21650422652,216133573,2025-01-13 14:01:55,2025-01-13 14:31:01,1746,Incoming
7,21650130283,216629431,2025-01-13 14:50:39,2025-01-13 15:25:09,2070,Outgoing
8,21650982733,216594281,2025-01-13 13:35:32,2025-01-13 14:04:04,1712,Incoming
9,21650667526,216930195,2025-01-13 14:52:42,2025-01-13 15:23:59,1877,Outgoing
10,21650339478,216457731,2025-01-13 14:06:17,2025-01-13 14:37:37,1880,Outgoing
11,21650938817,216929259,2025-01-13 15:03:52,2025-01-13 16:01:07,3435,Incoming
12,21650194532,216661747,2025-01-13 13:46:32,2025-01-13 14:09:42,1390,Outgoing
13,21650500779,216780054,2025-01-13 13:23:46,2025-01-13 14:06:56,2590,Outgoing
14,21650160536,216265468,2025-01-13 13:46:18,2025-01-13 14:01:47,929,Incoming
15,21650589698,216931904,2025-01-13 14:38:18,2025-01-13 15:15:36,2238,Incoming
16,21650886188,216485323,2025-01-13 14:50:45,2025-01-13 15:33:20,2555,Incoming
17,21650762108,216423564,2025-01-13 14:23:14,2025-01-13 15:13:24,3010,Outgoing
18,21650863274,216403567,2025-01-13 13:36:39,2025-01-13 14:23:02,2783,Incoming
19,21650800345,216910895,2025-01-13 13:58:00,2025-01-13 14:00:26,146,Outgoing
20,21650463633,216590783,2025-01-13 13:32:34,2025-01-13 13:35:26,172,Incoming
21,21650159226,216971894,2025-01-13 13:56:05,2025-01-13 14:06:26,621,Incoming
22,21650222344,216497365,2025-01-13 15:06:31,2025-01-13 15:31:15,1484,Outgoing
23,21650254229,216696250,2025-01-13 14:29:04,2025-01-13 14:53:13,1449,Incoming
24,21650607847,216408310,2025-01-13 13:58:14,2025-01-13 14:36:05,2271,Incoming
25,21650852576,216649392,2025-01-13 14:41:44,2025-01-13 15:08:49,1625,Outgoing
26,21650223436,216593880,2025-01-13 13:58:15,2025-01-13 14:35:49,2254,Incoming
27,21650957726,216560251,2025-01-13 14:46:10,2025-01-13 15:23:42,2252,Outgoing
28,21650515595,216999600,2025-01-13 14:37:50,2025-01-13 15:16:39,2329,Incoming
29,21650290486,216365240,2025-01-13 14:00:31,2025-01-13 14:42:44,2533,Outgoing
30,21650459781,216281676,2025-01-13 13:28:44,2025-01-13 13:58:08,1764,Incoming
31,21650100321,216566765,2025-01-13 14:55:41,2025-01-13 15:17:55,1334,Incoming
32,21650434074,216588433,2025-01-13 14:11:16,2025-01-13 14:29:50,1114,Outgoing
33,21650589408,216979110,2025-01-13 15:09:01,2025-01-13 15:24:19,918,Outgoing
34,21650623817,216877111,2025-01-13 15:16:02,2025-01-13 16:14:54,3532,Outgoing
35,21650104591,216425763,2025-01-13 14:38:14,2025-01-13 15:08:08,1794,Incoming
36,21650476197,216814366,2025-01-13 15:06:10,2025-01-13 15:07:10,60,Incoming
37,21650295649,216527810,2025-01-13 13:57:02,2025-01-13 14:12:30,928,Outgoing
38,21650413044,216962768,2025-01-13 14:40:43,2025-01-13 15:08:50,1687,Incoming
39,21650693406,216149274,2025-01-13 14:13:23,2025-01-13 15:06:12,3169,Outgoing
40,21650772695,216336330,2025-01-13 13:57:06,2025-01-13 14:19:03,1317,Outgoing
41,21650381594,216433007,2025-01-13 13:32:35,2025-01-13 14:02:08,1773,Incoming
42,21650623934,216878019,2025-01-13 14:34:45,2025-01-13 14:55:31,1246,Incoming
43,21650206929,216454389,2025-01-13 13:32:08,2025-01-13 13:52:02,1194,Outgoing
44,21650828880,216333502,2025-01-13 13:40:48,2025-01-13 13:45:53,305,Incoming
45,21650701739,216106513,2025-01-13 13:29:19,2025-01-13 14:12:29,2590,Incoming
46,21650224561,216837477,2025-01-13 14:05:07,2025-01-13 14:42:53,2266,Incoming
47,21650643572,216596479,2025-01-13 15:02:17,2025-01-13 15:32:00,1783,Outgoing
48,21650859698,216515155,2025-01-13 13:23:43,2025-01-13 13:52:00,1697,Outgoing
49,21650465837,216933004,2025-01-13 13:49:22,2025-01-13 14:42:05,3163,Outgoing
50,21650513992,216189904,2025-01-13 14:24:19,2025-01-13 14:44:31,1212,Outgoing
51,21650753041,216546382,2025-01-13 13:54:56,2025-01-13 14:21:23,1587,Outgoing
52,21650275576,216182446,2025-01-13 14:31:36,2025-01-13 15:24:43,3187,Outgoing
53,21650112209,216470425,2025-01-13 13:31:52,2025-01-13 13:49:33,1061,Incoming
54,21650730617,216703879,2025-01-13 13:29:16,2025-01-13 14:15:03,2747,Outgoing
55,21650844639,216422244,2025-01-13 13:53:25,2025-01-13 14:09:37,972,Incoming
56,21650396750,216197190,2025-01-13 13:46:38,2025-01-13 13:55:56,558,Incoming
57,21650799856,216230780,2025-01-13 15:03:19,2025-01-13 15:37:43,2064,Outgoing
58,21650111168,216244995,2025-01-13 13:27:41,2025-01-13 14:02:07,2066,Incoming
59,21650924432,216155591,2025-01-13 13:48:55,2025-01-13 14:28:46,2391,Incoming
60,21650667815,216560228,2025-01-13 13:53:34,2025-01-13 13:59:51,377,Outgoing
61,21650281524,216184727,2025-01-13 14:53:14,2025-01-13 15:29:14,2160,Incoming
62,21650402647,216323888,2025-01-13 13:46:09,2025-01-13 14:00:23,854,Incoming
63,21650554052,216742436,2025-01-13 14:01:25,2025-01-13 14:05:49,264,Outgoing
64,21650425605,216628416,2025-01-13 14:59:27,2025-01-13 15:20:07,1240,Outgoing
65,21650285798,216849606,2025-01-13 15:21:29,2025-01-13 15:36:19,890,Outgoing
66,21650210258,216170715,2025-01-13 13:49:25,2025-01-13 14:26:14,2209,Outgoing
67,21650106363,216369465,2025-01-13 15:19:27,2025-01-13 15:50:21,1854,Incoming
68,21650922765,216475168,2025-01-13 14:05:01,2025-01-13 14:36:48,1907,Outgoing
69,21650360672,216604988,2025-01-13 14:31:17,2025-01-13 14:31:52,35,Outgoing
70,21650708557,216925225,2025-01-13 14:18:19,2025-01-13 15:01:57,2618,Incoming
71,21650920217,216197931,2025-01-13 14:50:55,2025-01-13 14:55:09,254,Incoming
72,21650755806,216760917,2025-01-13 13:36:03,2025-01-13 14:14:35,2312,Incoming
73,21650976845,216841896,2025-01-13 14:50:03,2025-01-13 15:21:10,1867,Outgoing
74,21650155055,216159767,2025-01-13 14:05:57,2025-01-13 14:08:40,163,Incoming
75,21650144930,216538445,2025-01-13 14:19:42,2025-01-13 15:11:41,3119,Incoming
76,21650144283,216577589,2025-01-13 14:11:35,2025-01-13 14:21:10,575,Outgoing
77,21650296744,216818054,2025-01-13 14:57:22,2025-01-13 15:50:50,3208,Incoming
78,21650353927,216951068,2025-01-13 14:00:30,2025-01-13 14:37:26,2216,Incoming
79,21650519920,216922045,2025-01-13 13:32:35,2025-01-13 14:26:57,3262,Outgoing
80,21650248790,216550609,2025-01-13 14:18:42,2025-01-13 15:02:25,2623,Outgoing
81,21650917888,216933792,2025-01-13 14:56:06,2025-01-13 15:44:44,2918,Outgoing
82,21650434374,216856381,2025-01-13 13:40:34,2025-01-13 14:21:59,2485,Outgoing
83,21650515741,216252499,2025-01-13 14:01:05,2025-01-13 14:42:37,2492,Outgoing
84,21650534916,216923255,2025-01-13 13:56:49,2025-01-13 14:18:58,1329,Outgoing
85,21650661850,216691726,2025-01-13 15:14:53,2025-01-13 15:31:22,989,Incoming
86,21650594729,216492023,2025-01-13 14:47:41,2025-01-13 15:23:31,2150,Outgoing
87,21650483453,216546036,2025-01-13 13:26:35,2025-01-13 13:53:27,1612,Outgoing
88,21650229265,216255518,2025-01-13 13:26:32,2025-01-13 14:02:38,2166,Incoming
89,21650940103,216536811,2025-01-13 14:31:17,2025-01-13 15:12:28,2471,Incoming
90,21650365151,216336395,2025-01-13 14:09:54,2025-01-13 14:42:13,1939,Incoming
91,21650785279,216123085,2025-01-13 15:13:26,2025-01-13 15:51:06,2260,Outgoing
92,21650931399,216151215,2025-01-13 13:38:28,2025-01-13 14:01:59,1411,Outgoing
93,21650190823,216440531,2025-01-13 15:14:59,2025-01-13 16:13:52,3533,Incoming
94,21650630616,216311809,2025-01-13 13:40:57,2025-01-13 14:22:30,2493,Incoming
95,21650389129,216798030,2025-01-13 13:57:26,2025-01-13 14:24:22,1616,Outgoing
96,21650574321,216819292,2025-01-13 14:22:59,2025-01-13 15:16:18,3199,Incoming
97,21650383253,216960385,2025-01-13 14:04:25,2025-01-13 14:33:55,1770,Incoming
98,21650965739,216836434,2025-01-13 15:18:38,2025-01-13 15:51:05,1947,Incoming
99,21650840705,216171921,2025-01-13 15:18:13,2025-01-13 15:56:58,2325,Outgoing
100,21650959322,216434117,2025-01-13 13:46:43,2025-01-13 14:11:24,1481,Incoming
101,21650794248,216907431,2025-01-13 13:45:23,2025-01-13 14:32:20,2817,Outgoing
102,21650864526,216988023,2025-01-13 13:53:04,2025-01-13 14:04:07,663,Incoming
103,21650357346,216157499,2025-01-13 13:33:17,2025-01-13 14:23:46,3029,Outgoing
104,21650787999,216669137,2025-01-13 14:47:20,2025-01-13 15:33:42,2782,Outgoing
105,21650960935,216407625,2025-01-13 14:13:39,2025-01-13 14:14:18,39,Incoming
106,21650714239,216611008,2025-01-13 14:09:32,2025-01-13 14:16:16,404,Outgoing
107,21650763006,216611206,2025-01-13 14:03:51,2025-01-13 14:58:27,3276,Incoming
108,21650596870,216947828,2025-01-13 14:53:29,2025-01-13 15:21:05,1656,Outgoing
109,21650954209,216421358,2025-01-13 14:23:14,2025-01-13 14:42:29,1155,Incoming
110,21650127008,216752792,2025-01-13 15:16:24,2025-01-13 15:24:03,459,Incoming
