call_id,calling_number,called_number,start_time,end_time,duration,call_type
1,21650450956,216177486,2025-01-13 14:52:10,2025-01-13 15:40:07,2877,Incoming
2,21650960691,216896308,2025-01-13 14:33:21,2025-01-13 15:15:47,2546,Incoming
3,21650510328,216489024,2025-01-13 14:10:28,2025-01-13 14:39:46,1758,Outgoing
4,21650430066,216352431,2025-01-13 14:18:06,2025-01-13 14:35:26,1040,Outgoing
5,21650723414,216566729,2025-01-13 14:58:58,2025-01-13 15:48:48,2990,Outgoing
6,21650573027,216987697,2025-01-13 14:17:13,2025-01-13 14:49:17,1924,Outgoing
7,21650880502,216232298,2025-01-13 13:30:24,2025-01-13 13:30:44,20,Outgoing
8,21650814420,216763636,2025-01-13 14:08:31,2025-01-13 14:32:18,1427,Outgoing
9,21650806227,216871219,2025-01-13 14:34:11,2025-01-13 15:31:47,3456,Incoming
10,21650884491,216552063,2025-01-13 15:04:20,2025-01-13 15:17:47,807,Incoming
11,21650673100,216735146,2025-01-13 14:36:47,2025-01-13 15:26:31,2984,Outgoing
12,21650113305,216585854,2025-01-13 13:38:11,2025-01-13 14:16:43,2312,Outgoing
13,21650762509,216211915,2025-01-13 14:25:53,2025-01-13 15:21:18,3325,Outgoing
14,21650979337,216582018,2025-01-13 14:59:15,2025-01-13 15:52:30,3195,Incoming
15,21650443686,216235215,2025-01-13 15:13:09,2025-01-13 15:48:49,2140,Outgoing
16,21650325389,216433930,2025-01-13 13:27:15,2025-01-13 13:29:06,111,Outgoing
17,21650328574,216388893,2025-01-13 14:23:54,2025-01-13 14:31:00,426,Outgoing
18,21650949250,216432451,2025-01-13 14:01:33,2025-01-13 14:36:48,2115,Outgoing
19,21650248344,216586258,2025-01-13 14:45:39,2025-01-13 15:16:55,1876,Outgoing
20,21650559500,216268185,2025-01-13 14:57:42,2025-01-13 15:57:01,3559,Incoming
21,21650251245,216622115,2025-01-13 15:05:50,2025-01-13 16:02:46,3416,Outgoing
22,21650937442,216363519,2025-01-13 13:58:47,2025-01-13 14:32:27,2020,Incoming
23,21650107584,216716476,2025-01-13 15:01:11,2025-01-13 15:38:24,2233,Incoming
24,21650791825,216155715,2025-01-13 15:17:32,2025-01-13 15:50:00,1948,Outgoing
25,21650534149,216495725,2025-01-13 14:27:37,2025-01-13 14:35:59,502,Outgoing
26,21650936794,216575998,2025-01-13 14:06:50,2025-01-13 14:10:30,220,Outgoing
27,21650519534,216296757,2025-01-13 13:52:34,2025-01-13 14:51:30,3536,Incoming
28,21650258499,216565610,2025-01-13 14:47:58,2025-01-13 15:14:44,1606,Incoming
29,21650561067,216730720,2025-01-13 13:30:29,2025-01-13 14:27:25,3416,Incoming
30,21650946570,216482137,2025-01-13 14:09:17,2025-01-13 14:38:05,1728,Outgoing
31,21650242308,216401802,2025-01-13 15:03:53,2025-01-13 15:19:06,913,Outgoing
32,21650921884,216714618,2025-01-13 15:21:10,2025-01-13 15:35:02,832,Incoming
33,21650656632,216421719,2025-01-13 14:56:36,2025-01-13 15:29:01,1945,Incoming
34,21650782190,216521453,2025-01-13 14:49:08,2025-01-13 15:33:07,2639,Incoming
35,21650484827,216622827,2025-01-13 13:43:13,2025-01-13 13:45:49,156,Outgoing
36,21650821038,216512998,2025-01-13 13:28:24,2025-01-13 13:59:51,1887,Incoming
37,21650707895,216138161,2025-01-13 14:16:38,2025-01-13 14:44:15,1657,Outgoing
38,21650217484,216410491,2025-01-13 14:23:15,2025-01-13 14:37:14,839,Outgoing
39,21650534372,216358492,2025-01-13 14:22:00,2025-01-13 15:04:26,2546,Outgoing
40,21650633223,216238490,2025-01-13 15:17:29,2025-01-13 15:28:49,680,Outgoing
41,21650446739,216467653,2025-01-13 14:24:06,2025-01-13 14:47:56,1430,Incoming
42,21650592198,216534805,2025-01-13 13:25:51,2025-01-13 13:28:23,152,Outgoing
43,21650293205,216606107,2025-01-13 15:18:51,2025-01-13 15:24:52,361,Outgoing
