VPMN Public Code,Networks,Rate,MNC,MCC,2G,GPRS/3G,LTE,PLMN,Country
AAMOM,OnMarine,,,,,,,90127,Worldwide
AAMT1,TampNet AS,,,,,,,24299,Norway
ABWDC,Digicel,,,,,,,36302,Aruba
AFGAR,MTN,,,,,,,41240,Afghanistan
AFGAW,AWCC,,,,,,,41201,Afghanistan
AFGEA,Etisalat,,,,,,,41250,Afghanistan
AFGTD,Roshan,,,,,,,41220,Afghanistan
AGOUT,UNITEL,,,,,,,63102,Angola
AIACW,FLOW,,,,,,,365840,Anguilla (UK)
ALBAM,One Albania,0+,276.0,1.0,YES,YES,YES,27601,Albania
ALBEM,One Albania,0+,276.0,3.0,YES,YES,YES,27603,Albania
ALBM4,Plus Albania,HLR BARRING,276.0,4.0,YES,YES,0,27604,Albania
ALBVF,Vodafone Albania,100,276.0,2.0,YES,YES,YES,27602,Albania
ANDMA,Mobiland,,,,,,,21303,Andorra
ANTCT,Digicel,,,,,,,36269,Former Netherlands Antilles
ANTTC,Telcell,,,,,,,36251,Former Netherlands Antilles
AREDU,DU UAE,100,424.0,3.0,YES,YES,YES,42403,United Arab Emirates
ARETC,Etisalat UAE,0+,424.0,2.0,YES,YES,YES,42402,United Arab Emirates
ARETH,Thuraya,HLR BARRING,901.0,5.0,YES,YES,0,90105,Worldwide
ARGCM,Claro,,,,,,,722310,Argentina
ARGTM,Telefonica Moviles Argentina,100,722.0,7.0,YES,YES,Planned,,
ARGTP,Telecom Personal S.A,HLR BARRING,722.0,34.0,YES,YES,YES,,
ARM01,Telecom Armenia CJSC,100,283.0,1.0,YES,YES,YES,28301,Armenia
ARM05,MTS Armenia,HLR BARRING,283.0,5.0,YES,Planned,Planned,28305,Armenia
ARMOR,Ucom CJSC Armenia,HLR BARRING,283.0,10.0,YES,YES,YES,28310,Armenia
ATGCW,FLOW,,,,,,,344920,Antigua and Barbuda
AUSOP,Optus Mobile Pty Limited,0+,505.0,2.0,Arrêté,Arrêté,YES,50502,Australia
AUSTA,Telstra,,,,,,,50501,Australia
AUSVF,Vodafone Australia,100,505.0,3.0,YES,YES,0,50503,Australia
AUTCA,H3G Austria,90,232.0,5.0,YES,YES,YES,23205,Austria
AUTMM,T-Mobile Austria GmbH,0+,232.0,3.0,YES,YES,0,23203,Austria
AUTPT,A1 Telekom Austria AG,10,232.0,1.0,YES,YES,YES,23201,Austria
AZEAC,Azercell,,,,,,,40001,Azerbaijan
AZEAF,Nar Mobile,,,,,,,40004,Azerbaijan
AZEBC,Bakcell,,,,,,,40002,Azerbaijan
BDIL1,Smart Mobile,,,,,,,64207,Burundi
BDIVG,Lumitel,,,,,,,64208,Burundi
