VPMN Public Code,Networks,Rate,Routage
AAMOM,OnMarine,,
AAMT1,TampNet AS,,
ABWDC,Digicel,,
AFGAR,MTN,,
AFGAW,AWCC,,
AFGEA,Etisalat,,
AFGTD,Roshan,,
AGOUT,UNITEL,,
AIACW,FLOW,,
ALBAM,One Albania,0+,Bilateral
ALBEM,One Albania,0+,Bilateral
ALBM4,Plus Albania,HLR BARRING,Bilateral
ALBVF,Vodafone,100,Orange Hub
ANDMA,Mobiland,,
ANTCT,Digicel,,
ANTTC,Telcell,,
AREDU,DU UAE,100,Bilateral
ARETC,Etisalat UAE,0+,Bilateral
ARETH,Thuraya,HLR BARRING,Bilateral
ARGCM,Claro,,
ARGTM,Telefonica,100,Bilateral
ARGTP,Telecom Personal S.A,HLR BARRING,Comfone
ARM01,Telecom Armenia CJSC,100,Bilateral
ARM05,MTS,HLR BARRING,Bilateral
ARMOR,Ucom CJSC Armenia,HLR BARRING,Orange Hub
ATGCW,FLOW,,
AUSOP,Optus Mobile Pty Limited,0+,Bilateral
AUSTA,Telstra,,
AUSVF,Vodafone,100,Bilateral
AUTCA,H3G,90,Bilateral
AUTMM,T-Mobile,0+,Bilateral
AUTPT,A1 Telekom Austria AG,10,Bilateral
AZEAC,Azercell,,
AZEAF,Nar Mobile,,
AZEBC,Bakcell,,
BDIL1,Smart Mobile,,
BDIVG,Lumitel,,
BELKO,Sunrise Communications AG,0+,Bilateral
BELMO,Mobistar S.A.,90,Bilateral
BELTB,Belgacom Mobile N.V./S.A. – Proximus,10,Bilateral
BELTN,Sunrise Communications AG,0+,Bilateral
BEN02,Etisalat Benin SA,HLR BARRING,Orange Hub
BEN07,SBIN Benin,10,Orange Hub
BENBB,BELL,HLR BARRING,Bilateral
BENSP,Spacetel-Benin,90,Orange Hub
BFACT,Orange,100,Orange Hub
BFAON,Onatel,HLR BARRING,Comfone
BGDAK,Robi Axiata Limited,HLR BARRING,Comfone
BGDBL,Banglalink,,
BGDGP,Grameenphone Ltd,100,Bilateral
BGR01,A1 Bulgaria (Mobiltel),90,Bilateral
BGRCM,Yettel Bulgaria,10,Bilateral
BGRVA,Viva,HLR BARRING,Bilateral
BHRB2,Batelco,,
BHRBT,Batelco,,
BHRMV,Zain,10,Bilateral
BHRST,Viva,90,Bilateral
BHSBH,BTC Bahamas Telecommunications Company ,100,Orange Hub
BHSNC,Be Aliv Limited,HLR BARRING,Comfone
BIHER,HT Eronet,HLR BARRING,Bilateral
BIHMS,RS Telecommunications JSC Banja Luka,100,Comfone
BIHPT,BH Mobile,,
BLR02,MTS,HLR BARRING,Comfone
BLRBT,Life Best Belarus,HLR BARRING,Bilateral
BLRMD,Velcom Belarus,100,Bilateral
BLZ67,Digicel,,
BLZSC,SMART,,
BMU01,AT&T,0,Comfone
BOLNT,Viva,,
BOLTE,Tigo,,
BRABT,Oi Brazil/ Telemar,hLR BARRING,Bilateral
BRAC4,Algar Telecom,,
BRACL,Claro,,
BRACS,TIM Celular S.A.,20,Bilateral
BRARN,TIM Celular S.A.,20,Bilateral
BRASP,TIM Celular S.A.,20,Bilateral
BRATC,Telefonica,80,Bilateral
BRATM,Oi Brazil ,HLR BARRING,Bilateral
BRAV1,Telefonica,80,Bilateral
BRAV2,Telefonica,80,Bilateral
BRAV3,Telefonica,80,Bilateral
BRBCW,FLOW,,
BRNBR,PCSB,,
BRNDS,DST,,
BWABC,Botswana Telecommunications Corporation,HLR BARRING,Comfone
BWAGA,Mascom Wireless (Pty),HLR BARRING,Comfone
BWAVC,Orange,100,Orange Hub
CAF02,Telecel,HLR BARRING,
CAF03,Orange,100,Orange Hub
CANBM,BELL,10,Bilateral
CANMC,Fido,,
CANRW,Rogers,80,Bilateral
CANST,SaskTel Canada ,0,Orange Hub
CANTS,Telus,10,Bilateral
CANVT,Videotron,,
CHEC1,Swisscom (Switzerland) Ltd,30,Bilateral
CHEDX,Sunrise Communications AG,70,Bilateral
CHEOA,SITA OnAir Switzerland,HLR BARRING,Bilateral
CHEOR,Salt,0+,Orange Hub
CHLMV,Entel Chile,HLR BARRING,Comfone
CHLSM,Claro,10,Bilateral
CHLTM,Telefónica Móvil de Chile S.A.,90,Bilateral
CHNCM,China Mobile,,
CHNCT,China Mobile,80,Bilateral
CHNCU,China Unicom,20,Bilateral
CHNTD,China Mobile,,
CIV02,Moov,HLR BARRING,Bilateral
CIV03,Orange,100,Orange Hub
CIVTL,MTN,0,Orange Hub
CMR02,Orange,100,Orange Hub
CMRMT,MTN,0,Orange Hub
CMRVG,Nexttel,,
CODAC,Africell,HLR BARRING,Comfone
CODCT,Airtel,,
CODOR,Orange,90,Orange Hub
CODSA,Orange,,
CODVC,Vodacom,10,Orange Hub
COGCT,Airtel,,
COLCM,Claro,,
COLCO,Tigo,,
COLTM,movistar,,
COMHR,HURI,,
COMTM,TELCO SA,,
CPVCV,CVMovel Cap Verde,100,Bilateral
CPVTM,T+ Unitel Telecomunicacoes,HLR BARRING,Comfone
CRICL,Claro,10,Comfone
CRICR,ICE Costarica,HLR BARRING,Bilateral
CRITC,LIBERTY Telecomuncationes de Costa Rica,90,Bilateral
CUB01,CUBACEL,,
CYMCW,FLOW,,
CYPCT,Vodafone,,
